num,title,rating(10),review
1,"
Captain Marvel (2019)",4,"The last 5 minutes of the movie boosted my rating from a 2 to a 4, great graphics. I have watched all MCU movies and give the first Avengers a 10. Constant action and well developed characters. CM was BORING and Larsons wears her smug personality on her sleeve. Compare this movie to ALITA which i thought was perfect. Scary thought that a CGI character displays more personaltiy and believability than a Brie Larson. The studio knows CM is not a good movie, thats why they are rigging the votes and scores... And buying seats in theaters to boost the illusion its a hit movie.

We live in an altered world where news is fake, and now even the movie scores cannot be trusted. After all Im a white male and i must have an agenda for thinking Captain Pootiepants is the worst MCU movie to date."
2,"
Captain Marvel (2019)",4,"318. Captain Marvel. The story of a small town girl living in a lonely world, that works on top secret technology, then gets zapped by that technology turning her into a super hero with no memory!! An alien super hero with no memory, but wait no, she's a human, transfused with alien blood with no memory... cause she's kinda kidnapped by these aliens called Kree, the good looking ones, who are at war with the ugly ones called Skrulls. And as the war comes to Earth, truths come out, and she comes face to face with Nick Fury, and doing some quick math, Nick Fury is ummm, old. But anyways. It's a fun movie, with a rather generic storyline to introduce a character, that was kind of hinted at in the last few seconds of Avengers Infinity War. Filmbufftim on FB."
3,"
Captain Marvel (2019)",2,"Do I need to say more? How this gets a 7.7 IMDB rating is absolutely beyond me, this is not a good movie."
4,"
Captain Marvel (2019)",3,"I don't understand the box office success of this movie. So mediocre, acting so bland and way too too much CGI."
5,"
Captain Marvel (2019)",1,"I am not a huge comic book fan but enjoyed most Marvel movies for their action and humour as well as their interesting stories. Other than losing points for SJW garbage, the story just seemed to be a string of events. It had no highs and lows. A bunch of stuff happened for 2 hours. I heard they had to rewrite the ending several times which shows it had a weak idea of the story."
6,"
Captain Marvel (2019)",3,"Feels like an unpolished script, not a film (spoilers in second half)"
7,"
Captain Marvel (2019)",4,"The main problem in this film was Brie Larson, really. Terrible actress, no charm or carism and she don't know how to fight. Brings Iron Fist series to my memory. Valkyre was better as fighter than this version of Carol Denvers. This is a film about a woman who want to prove for the wolrd he is capable. That's it. But ironically, there is no moment that she deserves this power at all. The Marvel Universe was in second plane. Sad. Sorry, she can't be the main character on this second phase of MCU, if yes, i think we will have a stranger years in the future."
8,"
Captain Marvel (2019)",1,"Oh, I'm sorry, my review is too short? Well, perhaps I should just repeat what others are saying, because it is just the truth: boring, predictable, too forced, it is just bad."
9,"
Captain Marvel (2019)",1,"Seriously, can I rewind life by two hours and not watch the film? I swore I wasn't bothered about seeing this film, but having a son who's a big Marvel film fan, we watched it. Turns out it received a lukewarm reception from him as well. Why is Goose the best thing about this film? Why is there so much hype about this film? I truly don't know. I thought I needed to see this film before Endgame, so I was suckered by the son into seeing it. Both of us wish we hadn't bothered. My son and I both love Marvel and DC. We say Marvel for films and DC for series, but this, well honestly, it felt more like a DC flop of a film, not what we have come to expect from some amazing Marvel films."
10,"
Captain Marvel (2019)",8,"As a long-time IMDB reviewer, I have noticed that often films which haven't even been released have received a lot of reviews on this site. In a few cases, it's because folks saw the films at pre-screenings (such as at film festivatls), but for most it's more insidious. Some films appear to have many fake reviews--either fake positive ones (often, I assume, posted by the production companies or actors in the films) and some fake negative (such as when a fan group decides to attack a movie for some perceived slight). In the case of ""Captain Marvel"" the fake negative attacks were so many that Rotten Tomatoes decided for the first time, to not allow reviews of the film before its release. It seems a lot of fan guys objected to the perceived political correctness of the movie....and they were posting without even having seen the movie. I notice there are ALSO a lot of angry reviews here on IMDB as well...and many appear to have been posted before the film was released. Because of this, it must be very frustrating for you trying to determine whether or not it's a film worth seeing. I could say ""trust me....I am objective""....but without knowing me, I, too, could be one of these folks posting a false negative or false positive review! So, I guess you'll need to see it for yourself.

For the most part, I tired of watching superhero films long ago....mostly because after a while they all seem the same. But my daughter is visiting now and she wanted to see ""Captain Marvel"" and ""Shazam!"", so I broke my resolve and went along to see these comic book-based films.

I enjoyed ""Captain Marvel"" very much because it did not feel like all the other DC and Marvel films. It had a few distinctive touches which made it more exciting and worth my time. Much of it takes place in outer space and apart from bits of ""Thor"" and the ""Guardians of the Galaxy"" franchises, which also take place in space, it sets the film apart. It also sets itself apart by having a female lead. And, like ""Wonder Woman"", a ton of trolls hated on the film before it was released because it had the nerve to actually have a woman in the lead! This is sad, as Brie Larson was fine in the lead and did a nice job. Ditto for the writing, as the plot had a few very nice surprises and the film kept my interest throughout. Well worth seeing and quite the adventure."
11,"
Captain Marvel (2019)",7,"Vers (Brie Larson) is a powered member of the Kree Empire mentored by Commander Yon-Rogg (Jude Law). The Kree is under attack from the shapeshifting Skrulls. During a battle, Vers is captured where the Skrulls try to extract her memories. She had lost her memories six years earlier. With flashes of recovered memories, she escapes and crashes onto a Los Angeles Blockbuster. Nick Fury (Samuel L. Jackson) and new agent Phil Coulson (Clark Gregg) arrive to investigate. It's 1995 before Fury executed the Avengers Initiative. Vers searches for Dr. Wendy Lawson (Annette Bening) who is the key to her past.

It's a prequel. It's an origin story. It's an exposition movie. It's a connective tissue movie. It's a female empowerment story. It's a Marvel movie. It's trying to be a lot of stuff. Despite that, it's fairly uncomplicated. It runs well without hitting any major potholes. It introduces a new hero. It gives her a very specific identity. It still has a few issues. First, Brie Larson is doing a specific character but the role is lacking in range. Essentially, she starts off with amnesia and that's not always great for character work. It's almost as bad as being brainwashed and comes off as robotic. There is one moment of great possibility when Carol is across the table with Maria for the first time in a while. That could have been a really powerful moment of female friendship. Akira Akbar is acting her butt off but Brie is restricted to her memory blanks. Her memories could have flooded back as she emotionally breaks down. They could have hugged and yes why not even shed a tear. Her character needs a different gear. The role is stuck in the robotic amnesia Jason Bourne mode. Bourne could have been a solid choice but that's not this movie either. She's wise-cracking right from the start but that's the limit of her emotional range.

Second is her memory flashbacks. Instead of showing those memories early, the movie should have kept them from the audience. It becomes repetitive and we are forced to wait for Carol to catch up. The movie needs to keep the audience at the same level as Carol in her discovery. It should only reveal each memory as it comes up in the plot. Her meeting with Maria should be the point where most of her flashbacks occur like when her extended memory of the inciting incident is triggered. The movie needs to rearrange a few things.

The other characters are solid. Fury is great. His humor really works. The music is mostly popular 90's female alternative voices. It's not unexpected but the climax starts with No Doubt's Just A Girl which is awkward for hitting it on its tippy tip nose. It's a weird song to fight to. It could have also added a few more male singers. It's deliberately doing something which seems unnecessary and the music taste is too similar. Why not NIN or a rapper to change the tone? I hope that Carol will be a deeper character in the future. She could face a more personal challenge with an older Monica. This film is filling out a lot of story blanks whether we like it or not, and preparing for the upcoming Avengers movie. It's fine. The Marvel universe continues."
12,"
Captain Marvel (2019)",6,"Not bad, not great either"
13,"
Captain Marvel (2019)",6,"This was the next entry in the Marvel Cinematic Universe, the leading hero was called upon at the end of Avengers: Infinity War, but this is a prequel to how the whole Avengers project got started, and an origins story for the female hero, the first leading female in the series, directed by Anna Boden and Ryan Fleck (Half Nelson). Basically in 1995, on the planet of Hala, the capital of the Kree Empire, Starforce member Vers (Room's Brie Larson) is having recurring nightmares involving an older woman (Annette Bening). Her mentor and commander Yon-Rogg (Jude Law) trains her to control her abilities while the Supreme Intelligence, an artificial intelligence and the ruler of the Kree, urges her to control her emotions. The Kree are at war with the Skrulls, a race of alien shapeshifters, Vers is captured by their commander Talos (Ben Mendelsohn) during a mission to rescue an undercover operative infiltrating a Skrull group. She is taken aboard their vessel bound for the planet Earth and subjected to a memory probe. Vers escapes and crash-lands on Earth in Los Angeles in a Blockbuster store, she is found by S.H.I.E.L.D. agents Nick Fury (Samuel L. Jackson) and Phil Coulson (Clark Gregg). Their investigation is interrupted by a Skrull attack, following the chase, Vers recovers a crystal containing her extracted memories, while Fury kills a Skrull impersonating Coulson. Talos, disguised as S.H.I.E.L.D. Director Keller (also Mendelsohn), orders Fury to work with Vers and keep an eye on her. Fury takes Vers to a U.S. Air Force base and discovers she was a pilot presumed to have died in 1989. She was testing an experimental engine designed by Dr. Wendy Lawson, Vers recognises her as the woman from her nightmares. Talos and a S.H.I.E.L.D. tries to capture them, but they escape in a cargo jet, with Lawson's cat Goose. They fly to Louisiana to meet former pilot Maria Rambeau (Lashana Lynch), the last person to see Vers and Lawson alive. Just as Vers discovers her real name is Carol Danvers, Talos arrives at the Rambeau house, he reveals the Skrulls are refugees searching for a new home and Lawson was a renegade Kree scientist helping them. He then plays the recovered black box from Lawson's plane, prompting Danvers to remember the crash: Lawson was killed by Yon-Rogg before she could destroy the engine's energy-core, Danvers was forced to do so and absorbed the energy from the ensuing explosion, this is how she lost her memory. Danvers, Talos, Fury and Rambeau work together to locate Lawson's cloaked laboratory orbiting Earth, where Lawson hid several Skrulls including Talos' family, and the Tesseract, the source of the energy-core. Danvers is captured by Starforce and connects with the Supreme Intelligence, during their conversation she is able to access all her abilities, by removing the Kree implant that was suppressing her powers. In the subsequent battle, Fury retrieves Goose, who is revealed to be an alien with a pocket dimension inside her body and swallows the Tesseract before scratching Fury's left eye, permanently blinding it. Danvers, who earns the nickname Captain Marvel, leaves to help find a new homeworld for the Skrulls and gives Fury a modified pager to contact her in an emergency. Meanwhile, Fury drafts an initiative aimed at locating heroes like her, with abilities, he changes the name of the project after seeing a photo of Danvers in her Air Force jet, which bears the call sign ""Avenger"". In the mid-credits sequence, set in the present day, Steve Rogers aka Captain America (Chris Evans), Natasha Romanoff aka Black Widow (Scarlett Johansson), Bruce Banner aka Hulk (Mark Ruffalo), and James Rhodes aka War Machine (Don Cheadle), the remaining Avengers, are monitoring the pager that Fury activated before his disintegration, Danvers appears and demands to know where Fury is. In the post-credits sequence, back in 1995, Goose jumps onto Fury's desk and regurgitates the Tesseract. Also starring Rune Temte as Bron-Char, Gemma Chan as Minn-Erva, Algenis Perez Soto as Att-Lass, Djimon Hounsou as Korath, Lee Pace as Ronan, Chuku Modu as Soh-Larr, Matthew Maher as Norex, Kenneth Mitchell as Carol's Father, Mckenna Grace as Young Carol (13 Years Old), London Fuller as Young Carol (6 Years Old), Colin Ford as Steve Danvers, Robert Kazinsky as Biker (The Don), Marilyn Brett as Older Lady on Train and Stan Lee (who sadly passed away from cancer) has a posthumous cameo as himself reading the script for his role in Mallrats, the opening Marvel Studios logo also honours his memory with clips of his cameos and on-set moment, and the words ""Thank You Stan"". Larson is well chosen as the feisty human-turned-alien heroine, Jackson is terrific and the younger future director of the Avengers, the verbal sparring between Larson and Jackson make for some highlights, and there is good support from Mendelsohn, Law and Bening. The references to the 1990s time period are clever, the special effects are amazing, especially to make Jackson twenty years younger, it does slow down at times for the necessary chat sequences, but there are enough small giggles, it packs a punch with the explosive and exciting fight and chase sequences, and it sets you up nicely for Avengers: Endgame, a fun superhero fantasy action adventure. Good!"
14,"
Captain Marvel (2019)",10,"The film takes place in 1995. It shows us the event that causes Nick Fury (Samuel L. Jackson) to lose an eye. We first see Captain Marvel as Vers (Brie Larson) on the planet Hala being trained by the Kree to kill enemy shapeshifters. Her memory is gone from the time she was on C-53 (Earth). She finds herself back on Earth battling shapeshifters, defending the universe...and then the twist.

I liked the strong female role, competing and winning in a man's universe. Stan Lee gives us a smile in his usual spot. Good characters."
