num,title,rating,review
1,The Lion King (1994),10,"The Lion King is a great film. Along with a great story (inspired by William Shakespeare's Hamlet), terrific animation, and an all star cast of voices, there are the lessons that are learned from this film (despite being a little rough for the younger children). Like responsibility and honor.

I rank this animated film among the great films I have ever seen. It was part of my childhood and it is a film experience I will never forget. And hopefully, you won't either. A++"
2,The Lion King (1994),10,"This is a film that can entertain anyone young or old, I usually don't care for animated movies but this film is the real deal, this is one of disney's best animated movies. The animation is top notch and flawless. This film also features superb work from the vocal cast James Earl Jones, Jeremy Irons, Whoopi Goldberg. This is a standout."
3,The Lion King (1994),10,"The best Disney animated film ever...This film had it all, it was funny, emotional, had family drama, and above all, great animation and songs! My personal favorite character is Rafiki, the Baboon! I still cant forget the line he says to Simbe, ""Past can hurt, but as I see it, you can either run from it, or learn from it!"" it is so true! i loved Zazu's weirdness, and shenzi's humor, above all, i loved Pumba's innocence and Timon's intelligence! In short, i found the film the best film ever... The voice cast is also great. Mathew did complete justice to Simba, and what can I say about Mufasa, He is the best King, and dad anyone can ever get! The movie is not meant for kids, its meant to teach every adult a lesson...to find our place in the great ""Circle Of Life"". I give this film a perfect 10."
4,The Lion King (1994),10,"This is truly one of the best Disney movies ever. I really enjoyed it when I first seen it, about when I was 6, and since then I watched it over and over again. I simply LOOOOVED the music. It's one of the best soundtracks I've ever heard. And, speaking of soundtrack, I just can't tell in words how much I love the song ""Can You Feel The Love Tonight"". Is one of my favorite songs ever. I truly believe that this motion picture could easily be nominated for The Best Picture, but The Best Song and the Best Original Score is really enough. I wonder if they will ever think to make a prequel of this movie in order to understand who is Mufasa, Scar, Sarabi and the other characters. In short, this movie will be remembered in the next 100 years. Truly."
5,The Lion King (1994),10,"we have a favorite movie that's animated? If you ask me this is Disney's best animated film of all time. Why do you ask? The animation is just beautiful, the story is powerful and moving, the characters are terrific, the villain is one of Disney's most monstrous and the songs are out of this world incredible! Not only is it my favorite animated movie, this is one of my favorite soundtracks, with the strong power of Elton John The Lion King is absolutely beautiful and a pleasure to watch still to this day. I have to say also that this story is just so beautiful, it's still one of the movies that will always bring a tear to my eye. When I was 17 years old, I begged my dad to take me to the re-release of The Lion King, him and I being the only adults besides the parents who took their children to see the movie, Simba's father dies and I started balling! My dad looks around and said ""Krissy, stop it!"" and I just said ""But it's so saaaaad! Simba's daddy!"", yes I'm a sap, I can't help it, this is a powerful movie.

In the Pride Lands, Rafiki, a wise old monkey, anoints Simba, the newborn cub of King Mufasa and Queen Sarabi, and presents him to a gathering of animals at Pride Rock. Taking advantage of the cub's naive nature, Simba's scheming uncle Scar, who is very angry because Simba's birth means that he's no longer next in line to the throne tells him about the elephant graveyard, a place where Mufasa has forbidden Simba to go. Simba asks his mother if he can go to the water-hole with his best friend, Nala, but they go to the graveyard instead. There, the cubs are met by Shenzi, Banzai and Ed, 3 hyenas who try to kill them, but they are rescued by Mufasa. But Scar doesn't give up there, he lures Simba into a gorge for a ""surprise from his father"" while the hyenas create a wildebeest stampede. Alerted by Scar, Mufasa races to rescue Simba from the stampede. He saves his son but is left clinging to the edge of a steep cliff. Scar flings his brother into the stampede below. Simba sees his father fall and rushes down the cliff after him, only to find him dead. Scar convinces Simba that he was responsible for his father's death and recommends that he runs away from the Pride Lands to avoid punishment. In a distant desert, Simba is found unconscious by Timon and Pumbaa, a duo who adopt and raise the cub under their worry-free philosophy, Hakuna Matata. When Simba has grown into an adult he is discovered by Nala, who tells him that Scar, through his irresponsibility, has turned the Pride Lands into a barren wasteland. She asks Simba to return and take his place as king but Simba refuses, still believing he caused his father's death. Rafiki arrives and persuades Simba to return to the Pride Lands, and face Scar once and for all.

I know that still that Beauty and the Beast is the only animated film to get a best picture nomination, but I don't understand why The Lion King didn't get the same treatment. I adore this film with such a passion, I will always defend it to the high end. I still watch this movie, ever since it's theatrical release in 1994, I still sing, dance, and rehears the lines back and forth. How could you not at least with Hakuna Matata? Timon is my idol, he's so care free, funny, and awesome during his drag hula scene ""Luau! If you're hungry for a hunk of fat and juicy meat, eat my buddy Pumbaa here, 'cause he's a tasty treat come on down and dine, on this tasty swine, all you gotta is get in line, are you achin',? For some bacon? He's a big pig. You can be a big pig, too. Oy! Ahhhh!"", best scene ever in film history! OK, not in history, but one of my favorites, it always has me on the floor laughing till my stomach hurts. If you seriously haven't seen this movie, see it! Who said that animated movies can't be true art? The Lion King is a fantastic film and deserves all it's praise and more.

10/10"
6,The Lion King (1994),10,"Outstanding animated feature from Disney that sports outstanding songs by Elton John, a compelling story and first-class animation. Young lion cub Simba is to be king, but he leaves after he believes he was the reason for his father's death (of course this is not so). As he grows up, he goes on a journey of love, friendship and discovery which will lead him back to his rightful place in the world. Excellent. 5 stars out of 5."
7,The Lion King (1994),1,It sucks!!! it seriously does...ive seen crap that was better then that movie.. and its the highest grossing animated movie of all time?!?!? what on earth were people thinking when they went to see that...it was just terrible..a waste of money and time on disney's part.
8,The Lion King (1994),1,The Lion King is one of the worst movies ever made. This movie uses slapstick and other juvenille tricks for the humor. This movie is aimed at little kids. I hate this movie and I always will. Damn the lion king ! Damn it to hell!
9,The Lion King (1994),1,The Lion King is one of the worst movies ever made. This movie uses slapstick and other juvenille tricks for the humor. This movie is aimed at little kids. I hate this movie and I always will. Damn the lion king ! Damn it to hell!
10,The Lion King (1994),10,"I watched the film today and I have come to the conclusion that this Disney film is one classic that will keep on delivering to Disney fans like myself...TLK is a wonderful film with great characters and songs with a powerful message that you can always find your way back no matter how hard the journey...

I think The Lion King is one of the best Disney animated films matching with the power of Bambi and Brother Bear.

I love how Disney Works hard to deliver the best in Animation,Song,And Magic

I do believe that 2006 and many years from now The Lion King will Shine and still Roar with Success...

Thank-You Disney For The Lion King"
